date,rv_uz,tick_size,eta,n_observations,annualized_vol
2020-06-23,3.99876938885009e-06,0.02,0.4619718309859155,720,3.1744131520490884
2020-06-24,3.907023549175749e-06,0.02,0.4141689373297003,720,3.137785739008145
2020-06-29,3.141176203738504e-06,0.02,0.42032967032967034,720,2.813496762646268
2020-06-30,3.446166654663063e-06,0.02,0.35286783042394015,720,2.94692042134682
2020-07-01,5.32068917840234e-06,0.02,0.4191374663072776,720,3.661712267447279
2020-07-02,7.845266936908535e-06,0.02,0.46089385474860334,720,4.4463549881908335
2020-07-03,7.37564173966354e-06,0.02,0.5968253968253968,720,4.311219918300633
2020-07-06,7.51113302739481e-06,0.02,0.5783699059561128,720,4.350638485215121
2020-07-07,1.0416721994251987e-05,0.02,0.5817901234567902,720,5.1234889894987585
2020-07-08,1.0223967368627172e-05,0.02,0.5727554179566563,720,5.075864238623849
2020-07-09,8.062979514727492e-06,0.02,0.6821305841924399,720,4.507627799310107
2020-07-10,6.226049144701455e-06,0.02,0.7173144876325088,720,3.9610155067416315
2020-07-13,6.508071401707939e-06,0.02,0.6057692307692307,720,4.049733316195525
2020-07-14,1.0718334296961107e-05,0.02,0.8895582329317269,720,5.197134059108153
2020-07-15,1.2474492934623039e-05,0.02,1.0863636363636364,720,5.6067568339682845
2020-07-16,1.9274160086180632e-05,0.02,1.263959390862944,720,6.969281413257409
2020-07-17,1.168177043785344e-05,0.02,0.7743682310469314,720,5.425685348726986
2020-07-20,1.2871013679395715e-05,0.02,0.9623430962343096,720,5.69516939801418
2020-07-21,1.0284208902145743e-05,0.02,0.7730627306273062,720,5.090796247484992
2020-07-22,1.0420567443955244e-05,0.02,0.7135416666666666,720,5.124434598935498
2020-07-23,2.138958412055437e-05,0.02,1.1238317757009346,720,7.34178125415059
2020-07-24,1.0126943465624274e-05,0.02,0.6870748299319728,720,5.051722234384346
2020-07-27,1.1683428607749015e-05,0.02,0.7617328519855595,720,5.42607040974659
2020-07-28,8.567337497616896e-06,0.02,0.7962264150943397,721,4.6464707568212
2020-07-29,1.358666437176224e-05,0.02,0.6584158415841584,720,5.851358322376169
2020-07-30,7.4952851698937535e-06,0.02,0.5705329153605015,720,4.346046321443463
2020-07-31,1.4887112489982215e-05,0.02,0.9326530612244898,720,6.124991712219306
2020-08-03,5.764354486368298e-06,0.02,0.6209150326797386,720,3.8113217268617077
2020-08-04,5.903015063896063e-06,0.02,0.6632653061224489,720,3.856889674468026
2020-08-05,1.0808370953203395e-05,0.02,0.7208480565371025,720,5.218917014292577
2020-08-06,8.122014249028054e-06,0.02,0.7630597014925373,720,4.5240994581850975
2020-08-07,8.38530143235335e-06,0.02,0.8423076923076923,720,4.596842352042372
2020-08-10,1.5124940987591755e-05,0.02,0.888663967611336,720,6.1737226442990805
2020-08-11,9.478460575363185e-06,0.02,0.5849358974358975,720,4.887301980634636
2020-08-12,1.596971062570151e-05,0.02,0.8250950570342205,720,6.343789937944652
2020-08-13,8.906535945949664e-06,0.02,0.5316265060240963,720,4.737559559920398
2020-08-14,7.755695384336677e-06,0.02,0.49273255813953487,720,4.420899497673344
2020-08-17,6.627115490172707e-06,0.02,0.5872274143302181,720,4.086603851027797
2020-08-18,5.928856563954346e-06,0.02,0.5029154518950437,720,3.8653225662504482
2020-08-19,5.1959887829930945e-06,0.02,0.46742209631728043,720,3.618548290840209
2020-08-20,8.518463252110978e-06,0.02,0.5698757763975155,720,4.633198398009702
2020-08-21,4.94385370475169e-06,0.02,0.4828080229226361,720,3.529661646103527
2020-08-24,6.61624589772517e-06,0.02,0.5760869565217391,720,4.0832511142798245
2020-08-25,5.158992046840642e-06,0.02,0.4985549132947977,720,3.6056427940158495
2020-08-26,5.04817408898793e-06,0.02,0.5420420420420421,720,3.5667069832339164
2020-08-27,6.1955254650683045e-06,0.02,0.5971337579617835,720,3.9512939870341373
2020-08-28,6.102463689260468e-06,0.02,0.6074918566775245,720,3.9215058965831453
2020-08-31,4.77153843241858e-06,0.02,0.5609375,720,3.467603906113675
2020-09-01,8.546774572713243e-06,0.02,0.4519230769230769,720,4.640891285436168
2020-09-02,9.97566246879195e-06,0.02,0.6258064516129033,720,5.01384776607305
2020-09-03,6.40804851657063e-06,0.02,0.5329341317365269,720,4.018492535983859
2020-09-04,7.1699145294320065e-06,0.02,0.531437125748503,720,4.25066872552645
2020-09-07,5.6699012257468165e-06,0.02,0.5734375,720,3.7799670751055463
2020-09-08,1.028844881109133e-05,0.02,0.6796610169491526,720,5.091845540071905
2020-09-09,1.1962751345149364e-05,0.02,0.7330960854092526,720,5.490549461554499
2020-09-10,9.102754074545233e-06,0.02,0.6768707482993197,720,4.789461375546732
2020-09-11,5.432829324040869e-06,0.02,0.6426174496644296,720,3.7000986333587096
2020-09-14,5.035475287035958e-06,0.02,0.5100574712643678,720,3.5622180903659753
2020-09-15,4.724450144326241e-06,0.02,0.4985294117647059,720,3.4504513275370408
2020-09-16,6.396726468470574e-06,0.02,0.5734375,720,4.01494093363101
2020-09-17,4.35762873623153e-06,0.02,0.5507692307692308,720,3.313793055594066
2020-09-18,5.304236946433013e-06,0.02,0.5253731343283582,720,3.6560466497312634
2020-09-21,5.598953993752543e-06,0.02,0.5058479532163743,720,3.756243344653859
2020-09-22,5.4832349266267164e-06,0.02,0.49853801169590645,720,3.7172236972099655
2020-09-23,4.171814268007112e-06,0.02,0.5195783132530121,719,3.2423713475445592
2020-09-24,7.625048344582287e-06,0.02,0.4788135593220339,720,4.3835056551061236
2020-09-25,5.901784161518586e-06,0.02,0.5782747603833865,720,3.8564875323313097
2020-09-28,4.810773388863264e-06,0.02,0.556923076923077,720,3.481831262415717
2020-09-29,5.046107683776717e-06,0.02,0.4698275862068966,720,3.565976915673646
2020-09-30,3.7523484645162044e-06,0.02,0.4021164021164021,720,3.0750476631396846
2020-10-09,4.000750478115695e-06,0.02,0.5088495575221239,720,3.1751993960775993
2020-10-12,3.813712011254962e-06,0.02,0.4742857142857143,720,3.1000893968339853
2020-10-13,3.747906930414936e-06,0.02,0.349009900990099,720,3.0732272068048663
2020-10-14,3.817635789237134e-06,0.02,0.38046272493573263,720,3.101683766743086
2020-10-15,5.860848445163188e-06,0.02,0.4631728045325779,720,3.843089653106109
2020-10-16,4.451111867903617e-06,0.02,0.5353846153846153,720,3.349149430395293
2020-10-19,6.226782664259021e-06,0.02,0.46275071633237824,720,3.961248832619927
2020-10-20,4.322657792787245e-06,0.02,0.4456824512534819,720,3.300469305693337
2020-10-21,7.548752107159854e-06,0.02,0.46016483516483514,720,4.361519839464545
2020-10-22,7.00224470061732e-06,0.02,0.5131578947368421,720,4.200673356207984
2020-10-23,3.987548622546144e-06,0.02,0.4828571428571429,720,3.1699562345269503
2020-10-26,5.743373499821679e-06,0.02,0.44583333333333336,719,3.804379216054918
2020-10-27,5.114697300892061e-06,0.02,0.48559077809798273,720,3.5901305266310293
2020-10-28,4.666084434964869e-06,0.02,0.48142857142857143,720,3.4290717076362616
2020-10-29,5.942620857375742e-06,0.02,0.5299401197604791,720,3.8698067859502845
2020-10-30,4.440665522368995e-06,0.02,0.4715909090909091,720,3.345217050711339
2020-11-02,6.186039962883699e-06,0.02,0.5783699059561128,720,3.948268064160148
2020-11-03,6.6003828973143065e-06,0.02,0.5221238938053098,720,4.078353209474635
2020-11-04,6.020392664853822e-06,0.02,0.5379939209726444,720,3.895046792457266
2020-11-05,5.519704551201456e-06,0.02,0.5484848484848485,720,3.7295650509178233
2020-11-06,5.511937228754078e-06,0.02,0.6274509803921569,720,3.7269400070916463
2020-11-09,5.647747127129454e-06,0.02,0.47198879551820727,720,3.7725750834630487
2020-11-10,7.834357670785386e-06,0.02,0.5980707395498392,720,4.443262464718821
2020-11-11,7.316496928454043e-06,0.02,0.6278688524590164,720,4.293899423566438
2020-11-12,5.791189261886761e-06,0.02,0.5392749244712991,720,3.8201828411680294
2020-11-13,6.868912899167742e-06,0.02,0.5667701863354038,720,4.160488012950249
2020-11-16,6.7750356996335675e-06,0.02,0.4970845481049563,720,4.131959579070999
2020-11-17,4.431707195842985e-06,0.02,0.48579545454545453,720,3.3418411293064674
2020-11-18,5.682393229086554e-06,0.02,0.5466867469879518,720,3.7841288214459765
2020-11-19,5.436170662072385e-06,0.02,0.5788643533123028,720,3.701236289190736
2020-11-20,3.7306177214544515e-06,0.02,0.5210843373493976,720,3.066130567680577
2020-11-23,5.524539747301648e-06,0.02,0.6426174496644296,720,3.731198220840077
2020-11-24,4.908316543877552e-06,0.02,0.49426934097421205,720,3.516952898543202
2020-11-25,6.2578262945439615e-06,0.02,0.5029498525073747,720,3.971110960707442
2020-11-26,8.370545882201203e-06,0.02,0.6621621621621622,720,4.592796057212538
