trade_date,maturity,strike,option_type,market_price,underlying,r,q,order_book_id,volume,days_to_expiry,S0,api_iv,log_moneyness
2025-03-28,0.9780821917808219,3600.0,put,132.60000000000002,3915.1662,0.02,0.0,IO2603P3600,4.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3700.0,call,348.5,3915.1662,0.02,0.0,IO2603C3700,0.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3700.0,put,172.4,3915.1662,0.02,0.0,IO2603P3700,7.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3800.0,call,293.0,3915.1662,0.02,0.0,IO2603C3800,1.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3800.0,put,223.3,3915.1662,0.02,0.0,IO2603P3800,3.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3900.0,call,246.6,3915.1662,0.02,0.0,IO2603C3900,6.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3900.0,put,273.3,3915.1662,0.02,0.0,IO2603P3900,11.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4000.0,call,206.5,3915.1662,0.02,0.0,IO2603C4000,17.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4000.0,put,334.0,3915.1662,0.02,0.0,IO2603P4000,3.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4100.0,call,171.9,3915.1662,0.02,0.0,IO2603C4100,12.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4100.0,put,394.8,3915.1662,0.02,0.0,IO2603P4100,5.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4200.0,call,142.89999999999998,3915.1662,0.02,0.0,IO2603C4200,15.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4200.0,put,465.7,3915.1662,0.02,0.0,IO2603P4200,3.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4300.0,call,121.19999999999999,3915.1662,0.02,0.0,IO2603C4300,7.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4300.0,put,536.6,3915.1662,0.02,0.0,IO2603P4300,9.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4400.0,call,101.4,3915.1662,0.02,0.0,IO2603C4400,127.0,357,3915.1662,,
2025-03-28,0.9780821917808219,4400.0,put,617.5,3915.1662,0.02,0.0,IO2603P4400,21.0,357,3915.1662,,
