date,rv_minute,n_observations,n_returns,annualized_vol
2023-04-27,1.0351182365077554e-05,61,60,5.107345647202218
2023-04-28,1.058368239243819e-05,61,60,5.164385697151621
2023-05-04,1.2315333313064227e-05,61,60,5.570874253554988
2023-05-05,1.4959859254455655e-05,61,60,6.1399385437664
2023-05-08,1.341861790370312e-05,61,60,5.815059511073972
2023-05-09,1.7093528015808767e-05,61,60,6.563207340914813
2023-05-10,1.3038853909723681e-05,61,60,5.732182119621085
2023-05-11,9.383457107223148e-06,61,60,4.862747362366497
2023-05-12,1.3247194647306274e-05,61,60,5.777796336944719
2023-05-15,1.3469357341703676e-05,61,60,5.826043297220959
2023-05-16,6.36611926866314e-06,61,60,4.005324026471655
2023-05-17,1.029306519159915e-05,61,60,5.092987756006277
2023-05-18,8.713665247519724e-06,61,60,4.685982973053755
2023-05-19,1.3787778243381541e-05,61,60,5.894506016056094
2023-05-22,1.4818323764612443e-05,61,60,6.110824485028461
2023-05-23,1.0106937114628934e-05,61,60,5.046729785600267
2023-05-24,1.1604091258355264e-05,61,60,5.407615923034408
2023-05-25,1.3367568479886116e-05,61,60,5.803987643793964
2023-05-26,1.349728204319193e-05,61,60,5.832079453234812
2023-05-29,9.959421066256043e-06,61,60,5.009764574005971
2023-05-30,9.96713727521537e-06,61,60,5.011704892902488
2023-05-31,9.455172833894349e-06,61,60,4.881294453463523
2023-06-01,1.822805623934422e-05,61,60,6.777514420725892
2023-06-02,1.2013970725204382e-05,61,60,5.5022909980766235
2023-06-05,1.0428295820666705e-05,61,60,5.126334506065723
2023-06-06,1.977107527719217e-05,61,60,7.058548696334414
2023-06-07,1.6489584987240856e-05,61,60,6.4462201457789945
2023-06-08,1.6075358315789672e-05,61,60,6.364739032811162
2023-06-09,1.1101152196319803e-05,61,60,5.289130697451699
2023-06-12,6.608541855737215e-06,61,60,4.08087312672886
2023-06-13,7.496744310610626e-06,61,60,4.346469333003372
2023-06-14,5.961856072272409e-06,61,60,3.876064666917526
2023-06-15,5.6671772830490225e-06,61,60,3.779058977216886
2023-06-16,6.375461832918028e-06,61,60,4.0082619449024826
2023-06-19,4.15270967372177e-06,61,60,3.2349386976848358
2023-06-20,4.768752833161647e-06,61,60,3.4665915738037776
2023-06-21,1.3185539698293914e-05,61,60,5.764335177598598
2023-06-26,1.3366440189904843e-05,61,60,5.803742695757644
2023-06-27,7.642003146346069e-06,61,60,4.388376457050158
2023-06-28,1.624844828361274e-05,61,60,6.398913163553957
2023-06-29,6.737704264757454e-06,61,60,4.120560004075755
2023-06-30,1.0263150230469788e-05,61,60,5.0855814397946535
2023-07-03,8.782852150606717e-06,61,60,4.704549651085524
2023-07-04,4.756680144058168e-06,61,60,3.462200739851256
2023-07-05,3.664950118885197e-06,61,60,3.039025221940532
2023-07-06,6.832701321374296e-06,61,60,4.14950687791492
2023-07-07,8.456672224138645e-06,61,60,4.616363721028639
2023-07-10,1.0549275406790865e-05,61,60,5.1559842925587915
2023-07-11,7.779381757795558e-06,61,60,4.42764520141856
2023-07-12,7.403720029216474e-06,61,60,4.319418302691407
2023-07-13,8.473079231153973e-06,61,60,4.620839714003074
2023-07-14,3.603086542158971e-06,61,60,3.013267012105069
2023-07-17,3.746932332040148e-06,61,60,3.0728276028344275
2023-07-18,3.7152642200623624e-06,61,60,3.0598146732371148
2023-07-19,5.5103661918414346e-06,61,60,3.726408834714787
2023-07-20,5.56063679059641e-06,61,60,3.743368097356036
2023-07-21,1.3300571931215501e-05,61,60,5.789424951293787
2023-07-24,7.217282065393958e-06,61,60,4.264686483763229
2023-07-25,6.462837656504409e-06,61,60,4.035635128996564
2023-07-26,3.649356495641386e-06,61,60,3.032553110667032
2023-07-27,6.495678786970926e-06,61,60,4.045875744899581
2023-07-28,9.735762886909336e-06,61,60,4.953193159469104
2023-07-31,2.4795218049213185e-05,61,60,7.904678961477007
2023-08-01,1.0962958169687496e-05,61,60,5.256106409464375
2023-08-02,7.229841073981745e-06,61,60,4.2683954252662675
2023-08-03,8.617254272642517e-06,61,60,4.659987206748442
2023-08-04,1.8245522386366568e-05,61,60,6.780760754785834
2023-08-07,7.678040355051827e-06,61,60,4.3987113675178335
2023-08-08,1.9140299578477354e-05,61,60,6.945038152361939
2023-08-09,8.78053251919224e-06,61,60,4.703928352809431
2023-08-10,6.929544458633212e-06,61,60,4.178809882700539
